,HOURLY_KWH,AVG_CURRENT,AVG_V_LN,power_proxy,hour,weekday,day_of_month,month,week_of_year,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,kwh_lag_1,kwh_lag_2,kwh_lag_24,kwh_lag_168,kwh_roll_3h_mean,kwh_roll_24h_mean,kwh_roll_24h_std,kwh_roll_24h_min,kwh_roll_24h_max,kwh_roll_168h_mean,kwh_roll_168h_std,kwh_ratio_to_24h_avg,kwh_ratio_to_168h_avg,HOURLY_KWH_capped
2025-12-20 04:00:00,1.243000000000393,4.8314545454545454,231.93013636363636,1120.5599115619834,4,5,20,12,51,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.5139999999992142,1.4440000000013242,1.4380000000001019,0.625,1.4003333333336438,1.4214999999999993,0.09533693111670587,1.2070000000003347,1.5560000000004948,1.0733452380952389,0.4446907556054192,0.8744278055382259,1.158060610717956,1.243000000000393
2025-12-20 05:00:00,1.4490000000005239,5.028086956521739,232.10952173913046,1167.066858741021,5,5,20,12,51,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.243000000000393,1.5139999999992142,1.5270000000000437,0.6489999999994325,1.4020000000000437,1.4182500000000193,0.09288199619604,1.2070000000003347,1.5560000000004948,1.07810714285715,0.4444027551793154,1.021680929539626,1.3440210145899225,1.4490000000005239
2025-12-20 06:00:00,1.484999999998763,5.116304347826087,232.47017391304348,1189.388161531191,6,5,20,12,51,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.4490000000005239,1.243000000000393,1.2070000000003347,0.6460000000006403,1.3923333333332266,1.4298333333332873,0.08210050397892325,1.243000000000393,1.5560000000004948,1.0831011904761865,0.44423197047421403,1.0385818590164018,1.3710617641220744,1.484999999998763
2025-12-20 07:00:00,1.3170000000009168,5.127391304347826,231.6991304347826,1188.0121066162571,7,5,20,12,51,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.484999999998763,1.4490000000005239,1.3609999999989668,1.2160000000003492,1.417000000000068,1.4280000000000352,0.0841696010391245,1.243000000000393,1.5560000000004948,1.0837023809523803,0.44448117584768,0.9222682617175229,1.2152771903724346,1.3170000000009168
2025-12-20 08:00:00,1.532999999999447,5.218869565217392,230.86817391304348,1204.8708864120983,8,5,20,12,51,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.3170000000009168,1.484999999998763,1.356999999999971,1.3339999999989232,1.444999999999709,1.4353333333333467,0.08537317910265771,1.243000000000393,1.5560000000004948,1.0848869047619072,0.44541638227613445,1.0680438448366847,1.4130492129837913,1.532999999999447
2025-12-20 09:00:00,1.1920000000009168,4.223318181818182,230.77122727272726,974.6203199814049,9,5,20,12,51,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.532999999999447,1.3170000000009168,1.371000000001004,1.3330000000005384,1.3473333333337603,1.4278750000000098,0.09810700125673023,1.1920000000009168,1.5560000000004948,1.0840476190476238,0.4450787834388056,0.8348063837482447,1.0995816784012256,1.1920000000009168
2025-12-20 10:00:00,1.4249999999992724,4.864782608695652,230.79895652173914,1122.7867497920606,10,5,20,12,51,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.1920000000009168,1.532999999999447,1.3950000000004366,1.3099999999994907,1.383333333333212,1.4291249999999611,0.09786073178770116,1.1920000000009168,1.5560000000004948,1.0847321428571464,0.4455165940875505,0.9971129207636774,1.3136871583418905,1.4249999999992724
2025-12-20 11:00:00,1.2690000000002328,4.350826086956522,231.62226086956522,1007.7481749111531,11,5,20,12,51,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.4249999999992724,1.1920000000009168,1.473999999998341,1.3299999999999272,1.295333333333474,1.4205833333333733,0.10260515991177568,1.1920000000009168,1.5560000000004948,1.0843690476190528,0.4453403268298293,0.8932943790971911,1.1702647106369006,1.2690000000002328
2025-12-20 12:00:00,1.4359999999996944,5.015260869565218,231.50026086956524,1161.0341996332704,12,5,20,12,51,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.2690000000002328,1.4249999999992724,1.4470000000001164,1.1230000000014115,1.3766666666663998,1.4201250000000225,0.10250654804082049,1.1920000000009168,1.5560000000004948,1.086232142857138,0.4461568824428047,1.0111778813990249,1.3219998021995156,1.4359999999996944
2025-12-20 13:00:00,1.5979999999999563,5.276521739130435,230.37234782608698,1215.564701398866,13,5,20,12,51,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.4359999999996944,1.2690000000002328,1.5169999999998254,0.9929999999985739,1.4343333333332946,1.423500000000028,0.10706682188132506,1.1920000000009168,1.5979999999999563,1.0898333333333365,0.44783832982527305,1.1225843887710125,1.466277902176525,1.5979999999999563
